word,clue,difficulty
RAPHAEL,The Urbino painter known for serene Madonnas and the School of Athens,medium
RELIEF,A sculpture projecting outward from a flat background surface,easy
REPUBLIC,A city-state governed by elected citizens rather than a monarch,medium
SFUMATO,Leonardo's technique of blurring outlines with soft smoky transitions,hard
SIGNORIA,The governing council of a Renaissance Italian city-state,medium
SILVERPOINT,A drawing technique using a silver-tipped stylus on prepared paper,medium
SISTINE,The Vatican chapel whose ceiling was painted by Michelangelo,medium
SKETCH,A preliminary drawing working out composition before the final work,easy
TEMPERA,A fast-drying painting medium using egg yolk as a binder,medium
TONDO,A circular painting or relief sculpture,easy
TREATISE,A systematic written work on a subject such as painting or architecture,medium
TROMPE,A painting technique deceiving the eye into perceiving three dimensions,medium
TYPOGRAPHY,The art of printing and designing typefaces from movable type,hard
VASARI,The artist and writer who recorded biographies of Renaissance painters,medium
VAULT,A curved stone ceiling used in Renaissance churches and palaces,easy
VENETIAN,A style of painting using rich color and loosely applied glazes,medium
WORKSHOP,A studio where a master artist and apprentices produced commissions,easy
